week,day_of_week,course_day,lesson_id,unit_number,unit_title,phase,evidence_type,standards
1,Monday,1,ma-g3-mathematics-u01-l01,1,"Mathematical Habits, Place Value, and Rounding",Launch and diagnostic,instruction,MP.1;MP.3
1,Tuesday,2,ma-g3-mathematics-u01-l02,1,"Mathematical Habits, Place Value, and Rounding",Concept build A,instruction,3.NBT.1;MP.6;MP.7
1,Wednesday,3,ma-g3-mathematics-u01-l03,1,"Mathematical Habits, Place Value, and Rounding",Concept build B,instruction,3.NBT.1;MP.6
1,Thursday,4,ma-g3-mathematics-u01-l04,1,"Mathematical Habits, Place Value, and Rounding",Guided practice A,guided-practice,3.NBT.1
1,Friday,5,ma-g3-mathematics-u01-l05,1,"Mathematical Habits, Place Value, and Rounding",Independent evidence A,independent-evidence,3.NBT.1
2,Monday,6,ma-g3-mathematics-u01-l06,1,"Mathematical Habits, Place Value, and Rounding",Concept build C,instruction,3.NBT.2;MP.6
2,Tuesday,7,ma-g3-mathematics-u01-l07,1,"Mathematical Habits, Place Value, and Rounding",Guided practice B,guided-practice,3.NBT.2
2,Wednesday,8,ma-g3-mathematics-u01-l08,1,"Mathematical Habits, Place Value, and Rounding",Error analysis and repair,guided-practice,3.NBT.2;MP.3
2,Thursday,9,ma-g3-mathematics-u01-l09,1,"Mathematical Habits, Place Value, and Rounding",Retrieval and fluency,retrieval,3.NBT.2
2,Friday,10,ma-g3-mathematics-u01-l10,1,"Mathematical Habits, Place Value, and Rounding",Independent evidence B,independent-evidence,3.NBT.2
3,Monday,11,ma-g3-mathematics-u01-l11,1,"Mathematical Habits, Place Value, and Rounding",Concept extension,instruction,3.NBT.2;MP.1
3,Tuesday,12,ma-g3-mathematics-u01-l12,1,"Mathematical Habits, Place Value, and Rounding",Applied problem solving,independent-evidence,3.NBT.1;3.NBT.2;MP.3
3,Wednesday,13,ma-g3-mathematics-u01-l13,1,"Mathematical Habits, Place Value, and Rounding",Performance task: plan,project,3.NBT.1;3.NBT.2;MP.1
3,Thursday,14,ma-g3-mathematics-u01-l14,1,"Mathematical Habits, Place Value, and Rounding",Performance task: build,project,3.NBT.1;3.NBT.2;MP.3
3,Friday,15,ma-g3-mathematics-u01-l15,1,"Mathematical Habits, Place Value, and Rounding",Synthesis and review,retrieval,3.NBT.1;3.NBT.2
4,Monday,16,ma-g3-mathematics-u01-l16,1,"Mathematical Habits, Place Value, and Rounding",Unit assessment,assessment,3.NBT.1;3.NBT.2;MP.3;MP.6
4,Tuesday,17,ma-g3-mathematics-u01-l17,1,"Mathematical Habits, Place Value, and Rounding",Targeted correction and reassessment,reassessment,3.NBT.1;3.NBT.2
4,Wednesday,18,ma-g3-mathematics-u01-l18,1,"Mathematical Habits, Place Value, and Rounding","Transfer, reflection, and publication",independent-evidence,3.NBT.1;MP.1;MP.4
4,Thursday,19,ma-g3-mathematics-u02-l01,2,Meanings of Multiplication and Division,Launch and diagnostic,instruction,3.OA.1;MP.1
4,Friday,20,ma-g3-mathematics-u02-l02,2,Meanings of Multiplication and Division,Concept build A,instruction,3.OA.1
5,Monday,21,ma-g3-mathematics-u02-l03,2,Meanings of Multiplication and Division,Concept build B,instruction,3.OA.1;MP.6
5,Tuesday,22,ma-g3-mathematics-u02-l04,2,Meanings of Multiplication and Division,Guided practice A,guided-practice,3.OA.1
5,Wednesday,23,ma-g3-mathematics-u02-l05,2,Meanings of Multiplication and Division,Independent evidence A,independent-evidence,3.OA.1
5,Thursday,24,ma-g3-mathematics-u02-l06,2,Meanings of Multiplication and Division,Concept build C,instruction,3.OA.2
5,Friday,25,ma-g3-mathematics-u02-l07,2,Meanings of Multiplication and Division,Guided practice B,guided-practice,3.OA.2
6,Monday,26,ma-g3-mathematics-u02-l08,2,Meanings of Multiplication and Division,Error analysis and repair,guided-practice,3.OA.1;3.OA.2;3.OA.3;MP.3
6,Tuesday,27,ma-g3-mathematics-u02-l09,2,Meanings of Multiplication and Division,Retrieval and fluency,retrieval,3.OA.1;3.OA.2
6,Wednesday,28,ma-g3-mathematics-u02-l10,2,Meanings of Multiplication and Division,Independent evidence B,independent-evidence,3.OA.2;3.OA.3
6,Thursday,29,ma-g3-mathematics-u02-l11,2,Meanings of Multiplication and Division,Concept extension,instruction,3.OA.4;3.OA.6
6,Friday,30,ma-g3-mathematics-u02-l12,2,Meanings of Multiplication and Division,Applied problem solving,independent-evidence,3.OA.6
7,Monday,31,ma-g3-mathematics-u02-l13,2,Meanings of Multiplication and Division,Performance task: plan,project,3.OA.1;3.OA.2;MP.4
7,Tuesday,32,ma-g3-mathematics-u02-l14,2,Meanings of Multiplication and Division,Performance task: build,project,3.OA.1;3.OA.2;3.OA.3
7,Wednesday,33,ma-g3-mathematics-u02-l15,2,Meanings of Multiplication and Division,Synthesis and review,retrieval,3.OA.1;3.OA.2;3.OA.6
7,Thursday,34,ma-g3-mathematics-u02-l16,2,Meanings of Multiplication and Division,Unit assessment,assessment,3.OA.1;3.OA.2;3.OA.3;3.OA.6
7,Friday,35,ma-g3-mathematics-u02-l17,2,Meanings of Multiplication and Division,Targeted correction and reassessment,reassessment,3.OA.1;3.OA.2;3.OA.3
8,Monday,36,ma-g3-mathematics-u02-l18,2,Meanings of Multiplication and Division,"Transfer, reflection, and publication",independent-evidence,3.OA.3;MP.1;MP.4
8,Tuesday,37,ma-g3-mathematics-u03-l01,3,Multiplication and Division Fluency Within 100,Launch and diagnostic,instruction,3.OA.7;MP.1
8,Wednesday,38,ma-g3-mathematics-u03-l02,3,Multiplication and Division Fluency Within 100,Concept build A,instruction,3.OA.5;3.OA.7
8,Thursday,39,ma-g3-mathematics-u03-l03,3,Multiplication and Division Fluency Within 100,Concept build B,instruction,3.OA.5;3.OA.7
8,Friday,40,ma-g3-mathematics-u03-l04,3,Multiplication and Division Fluency Within 100,Guided practice A,guided-practice,3.OA.5
9,Monday,41,ma-g3-mathematics-u03-l05,3,Multiplication and Division Fluency Within 100,Independent evidence A,independent-evidence,3.OA.5;3.OA.7
9,Tuesday,42,ma-g3-mathematics-u03-l06,3,Multiplication and Division Fluency Within 100,Concept build C,instruction,3.OA.5;MP.7
9,Wednesday,43,ma-g3-mathematics-u03-l07,3,Multiplication and Division Fluency Within 100,Guided practice B,guided-practice,3.OA.5;3.OA.7
9,Thursday,44,ma-g3-mathematics-u03-l08,3,Multiplication and Division Fluency Within 100,Error analysis and repair,guided-practice,3.OA.7;MP.3
9,Friday,45,ma-g3-mathematics-u03-l09,3,Multiplication and Division Fluency Within 100,Retrieval and fluency,retrieval,3.OA.7
10,Monday,46,ma-g3-mathematics-u03-l10,3,Multiplication and Division Fluency Within 100,Independent evidence B,independent-evidence,3.OA.4;3.OA.6
10,Tuesday,47,ma-g3-mathematics-u03-l11,3,Multiplication and Division Fluency Within 100,Concept extension,instruction,3.OA.5;3.NBT.3
