course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
1,1,1,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l01,Launch and diagnostic,strong and thorough textual evidence
2,1,2,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l02,Concept model A,explicit statement versus supported inference
3,1,3,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l03,Guided practice A,high-school annotation systems
4,1,4,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l04,Independent application A,discussion preparation and evidence logs
5,1,5,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l05,Concept model B,academic vocabulary acquisition
6,2,1,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l06,Guided practice B,evidence sufficiency review
7,2,2,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l07,Investigation or close reading,strong and thorough textual evidence
8,2,3,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l08,Reteach and varied practice,explicit statement versus supported inference
9,2,4,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l09,Concept model C,high-school annotation systems
10,2,5,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l10,Discussion or problem seminar,discussion preparation and evidence logs
11,3,1,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l11,Performance task planning,academic vocabulary acquisition
12,3,2,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l12,Performance task build,evidence sufficiency review
13,3,3,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l13,Skill consolidation,strong and thorough textual evidence
14,3,4,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l14,Transfer challenge,explicit statement versus supported inference
15,3,5,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l15,Assessment preparation,high-school annotation systems
16,4,1,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l16,Unit assessment,discussion preparation and evidence logs
17,4,2,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l17,Targeted correction,academic vocabulary acquisition
18,4,3,1,"Close Reading and Strong, Thorough Evidence",ma-g9-english-language-arts-u01-l18,"Publication, presentation, or reflection",evidence sufficiency review
19,4,4,2,Complex Characters and Narrative Structure,ma-g9-english-language-arts-u02-l01,Launch and diagnostic,characters with multiple or conflicting motivations
20,4,5,2,Complex Characters and Narrative Structure,ma-g9-english-language-arts-u02-l02,Concept model A,character development across a whole text
21,5,1,2,Complex Characters and Narrative Structure,ma-g9-english-language-arts-u02-l03,Guided practice A,parallel plots and ordered events
22,5,2,2,Complex Characters and Narrative Structure,ma-g9-english-language-arts-u02-l04,Independent application A,"pacing, flashback, and manipulated time"
23,5,3,2,Complex Characters and Narrative Structure,ma-g9-english-language-arts-u02-l05,Concept model B,theme emergence and refinement
24,5,4,2,Complex Characters and Narrative Structure,ma-g9-english-language-arts-u02-l06,Guided practice B,narrative craft in original writing
