course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
1,1,1,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l01,Launch and diagnostic,unaided selection of strong and thorough evidence
2,1,2,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l02,Concept model A,competing defensible readings
3,1,3,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l03,Guided practice A,theme refinement across a whole text
4,1,4,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l04,Independent application A,evidence sufficiency without prompting
5,1,5,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l05,Concept model B,annotation without a provided template
6,2,1,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l06,Guided practice B,seminar leadership and collegial rules
7,2,2,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l07,Investigation or close reading,unaided selection of strong and thorough evidence
8,2,3,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l08,Reteach and varied practice,competing defensible readings
9,2,4,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l09,Concept model C,theme refinement across a whole text
10,2,5,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l10,Discussion or problem seminar,evidence sufficiency without prompting
11,3,1,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l11,Performance task planning,annotation without a provided template
12,3,2,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l12,Performance task build,seminar leadership and collegial rules
13,3,3,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l13,Skill consolidation,unaided selection of strong and thorough evidence
14,3,4,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l14,Transfer challenge,competing defensible readings
15,3,5,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l15,Assessment preparation,theme refinement across a whole text
16,4,1,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l16,Unit assessment,evidence sufficiency without prompting
17,4,2,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l17,Targeted correction,annotation without a provided template
18,4,3,1,Independent Evidence and Analytical Precision,ma-g10-english-language-arts-u01-l18,"Publication, presentation, or reflection",seminar leadership and collegial rules
19,4,4,2,Authorial Structure and Calculated Effect,ma-g10-english-language-arts-u02-l01,Launch and diagnostic,structuring a text and ordering events
20,4,5,2,Authorial Structure and Calculated Effect,ma-g10-english-language-arts-u02-l02,Concept model A,"manipulating time for mystery, tension, or surprise"
21,5,1,2,Authorial Structure and Calculated Effect,ma-g10-english-language-arts-u02-l03,Guided practice A,character interaction that advances plot or theme
22,5,2,2,Authorial Structure and Calculated Effect,ma-g10-english-language-arts-u02-l04,Independent application A,claims refined by sections or chapters
23,5,3,2,Authorial Structure and Calculated Effect,ma-g10-english-language-arts-u02-l05,Concept model B,narrative technique under a formal constraint
24,5,4,2,Authorial Structure and Calculated Effect,ma-g10-english-language-arts-u02-l06,Guided practice B,syntax and style choices for meaning
25,5,5,2,Authorial Structure and Calculated Effect,ma-g10-english-language-arts-u02-l07,Investigation or close reading,structuring a text and ordering events
26,6,1,2,Authorial Structure and Calculated Effect,ma-g10-english-language-arts-u02-l08,Reteach and varied practice,"manipulating time for mystery, tension, or surprise"
