course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus,requires_guardian_signoff
1,1,1,1,Postsecondary Pathways,ma-g11-ready-for-life-u01-l01,Launch and planning,"college, trade, apprenticeship, military, and direct work",no
2,2,1,1,Postsecondary Pathways,ma-g11-ready-for-life-u01-l02,Skill model,entry requirements and realistic timelines,no
3,3,1,1,Postsecondary Pathways,ma-g11-ready-for-life-u01-l03,Guided practice,"cost and funding in outline, verified not assumed",no
4,4,1,1,Postsecondary Pathways,ma-g11-ready-for-life-u01-l04,Supervised application,"fit: setting, structure, and support needs",yes
5,5,1,1,Postsecondary Pathways,ma-g11-ready-for-life-u01-l05,Independent application,talking to people on each pathway,no
6,6,1,1,Postsecondary Pathways,ma-g11-ready-for-life-u01-l06,Unit performance task,building a shortlist that survives scrutiny,yes
7,7,1,2,"Applications, Deadlines, and Documentation",ma-g11-ready-for-life-u02-l01,Launch and planning,building a deadline and document tracker,no
8,8,1,2,"Applications, Deadlines, and Documentation",ma-g11-ready-for-life-u02-l02,Skill model,"assembling transcripts, records, and references",no
9,9,1,2,"Applications, Deadlines, and Documentation",ma-g11-ready-for-life-u02-l03,Guided practice,writing a personal statement in the learner's own voice,no
10,10,1,2,"Applications, Deadlines, and Documentation",ma-g11-ready-for-life-u02-l04,Supervised application,proofreading and requesting feedback,yes
11,11,1,2,"Applications, Deadlines, and Documentation",ma-g11-ready-for-life-u02-l05,Independent application,submitting and confirming receipt,no
12,12,1,2,"Applications, Deadlines, and Documentation",ma-g11-ready-for-life-u02-l06,Unit performance task,recovering when a deadline is missed,yes
13,13,1,3,Health and Wellness Self-Management,ma-g11-ready-for-life-u03-l01,Launch and planning,making and preparing for an appointment,no
14,14,1,3,Health and Wellness Self-Management,ma-g11-ready-for-life-u03-l02,Skill model,keeping personal health records privately,no
15,15,1,3,Health and Wellness Self-Management,ma-g11-ready-for-life-u03-l03,Guided practice,describing a concern accurately to a professional,no
16,16,1,3,Health and Wellness Self-Management,ma-g11-ready-for-life-u03-l04,Supervised application,"routine care, prevention, and sleep",yes
17,17,1,3,Health and Wellness Self-Management,ma-g11-ready-for-life-u03-l05,Independent application,recognising when to seek help urgently,no
18,18,1,3,Health and Wellness Self-Management,ma-g11-ready-for-life-u03-l06,Unit performance task,"who to call and how, before it is needed",yes
19,19,1,4,Housing and Living Arrangements,ma-g11-ready-for-life-u04-l01,Launch and planning,comparing housing options on total cost and fit,no
20,20,1,4,Housing and Living Arrangements,ma-g11-ready-for-life-u04-l02,Skill model,reading a sample lease and naming its obligations,no
21,21,1,4,Housing and Living Arrangements,ma-g11-ready-for-life-u04-l03,Guided practice,"utilities, deposits, and setup sequence",no
22,22,1,4,Housing and Living Arrangements,ma-g11-ready-for-life-u04-l04,Supervised application,"roommates, shared costs, and written agreements",yes
23,23,1,4,Housing and Living Arrangements,ma-g11-ready-for-life-u04-l05,Independent application,"inspection, documentation, and moving out",no
24,24,1,4,Housing and Living Arrangements,ma-g11-ready-for-life-u04-l06,Unit performance task,verifying tenancy rules locally,yes
25,25,1,5,Problem Solving Under Constraint,ma-g11-ready-for-life-u05-l01,Launch and planning,defining the actual problem before solving it,no
26,26,1,5,Problem Solving Under Constraint,ma-g11-ready-for-life-u05-l02,Skill model,generating more than two options,no
27,27,1,5,Problem Solving Under Constraint,ma-g11-ready-for-life-u05-l03,Guided practice,weighing tradeoffs explicitly,no
28,28,1,5,Problem Solving Under Constraint,ma-g11-ready-for-life-u05-l04,Supervised application,deciding under incomplete information,yes
29,29,1,5,Problem Solving Under Constraint,ma-g11-ready-for-life-u05-l05,Independent application,building a fallback before committing,no
30,30,1,5,Problem Solving Under Constraint,ma-g11-ready-for-life-u05-l06,Unit performance task,reviewing a decision after the outcome,yes
31,31,1,6,Grade 11 Transition-Planning Capstone,ma-g11-ready-for-life-u06-l01,Launch and planning,assembling the year's work into one plan,no
32,32,1,6,Grade 11 Transition-Planning Capstone,ma-g11-ready-for-life-u06-l02,Skill model,timeline with verified dates and requirements,no
33,33,1,6,Grade 11 Transition-Planning Capstone,ma-g11-ready-for-life-u06-l03,Guided practice,naming support needs without shame,no
34,34,1,6,Grade 11 Transition-Planning Capstone,ma-g11-ready-for-life-u06-l04,Supervised application,contingency planning for the primary pathway,yes
35,35,1,6,Grade 11 Transition-Planning Capstone,ma-g11-ready-for-life-u06-l05,Independent application,identifying who helps with what,no
36,36,1,6,Grade 11 Transition-Planning Capstone,ma-g11-ready-for-life-u06-l06,Unit performance task,presenting the plan and revising it,yes
