course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
1,1,1,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l01,Launch and diagnostic,independence at the high end of the 11-CCR band
2,1,2,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l02,Concept model A,protocols for dense and unfamiliar text
3,1,3,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l03,Guided practice A,evidence where a text leaves matters uncertain
4,1,4,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l04,Independent application A,academic vocabulary met without instruction
5,1,5,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l05,Concept model B,annotation designed for scholarly reuse
6,2,1,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l06,Guided practice B,self-monitoring and repairing comprehension
7,2,2,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l07,Investigation or close reading,independence at the high end of the 11-CCR band
8,2,3,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l08,Reteach and varied practice,protocols for dense and unfamiliar text
9,2,4,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l09,Concept model C,evidence where a text leaves matters uncertain
10,2,5,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l10,Discussion or problem seminar,academic vocabulary met without instruction
11,3,1,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l11,Performance task planning,annotation designed for scholarly reuse
12,3,2,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l12,Performance task build,self-monitoring and repairing comprehension
13,3,3,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l13,Skill consolidation,independence at the high end of the 11-CCR band
14,3,4,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l14,Transfer challenge,protocols for dense and unfamiliar text
15,3,5,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l15,Assessment preparation,evidence where a text leaves matters uncertain
16,4,1,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l16,Unit assessment,academic vocabulary met without instruction
17,4,2,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l17,Targeted correction,annotation designed for scholarly reuse
18,4,3,1,Independent Scholarly Reading,ma-g12-english-language-arts-u01-l18,"Publication, presentation, or reflection",self-monitoring and repairing comprehension
19,4,4,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l01,Launch and diagnostic,framing a genuinely researchable question
20,4,5,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l02,Concept model A,narrowing or broadening a sustained inquiry
21,5,1,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l03,Guided practice A,mapping an authoritative source landscape
22,5,2,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l04,Independent application A,strengths and limitations for task and purpose
23,5,3,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l05,Concept model B,how ideas and events interact across a text
24,5,4,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l06,Guided practice B,noting discrepancies before drafting
25,5,5,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l07,Investigation or close reading,framing a genuinely researchable question
26,6,1,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l08,Reteach and varied practice,narrowing or broadening a sustained inquiry
27,6,2,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l09,Concept model C,mapping an authoritative source landscape
28,6,3,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l10,Discussion or problem seminar,strengths and limitations for task and purpose
29,6,4,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l11,Performance task planning,how ideas and events interact across a text
30,6,5,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l12,Performance task build,noting discrepancies before drafting
31,7,1,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l13,Skill consolidation,framing a genuinely researchable question
32,7,2,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l14,Transfer challenge,narrowing or broadening a sustained inquiry
33,7,3,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l15,Assessment preparation,mapping an authoritative source landscape
34,7,4,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l16,Unit assessment,strengths and limitations for task and purpose
35,7,5,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l17,Targeted correction,how ideas and events interact across a text
36,8,1,2,The Research Question and the Source Landscape,ma-g12-english-language-arts-u02-l18,"Publication, presentation, or reflection",noting discrepancies before drafting
37,8,2,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l01,Launch and diagnostic,reasoning in seminal and specialized texts
38,8,3,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l02,Concept model A,whether a structure makes points clear and convincing
39,8,4,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l03,Guided practice A,"stance, premises, and links among ideas"
40,8,5,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l04,Independent application A,source limitations relative to the question
41,9,1,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l05,Concept model B,avoiding overreliance on any one source
42,9,2,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l06,Guided practice B,"expertise, interest, and warranted credibility"
43,9,3,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l07,Investigation or close reading,reasoning in seminal and specialized texts
44,9,4,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l08,Reteach and varied practice,whether a structure makes points clear and convincing
45,9,5,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l09,Concept model C,"stance, premises, and links among ideas"
46,10,1,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l10,Discussion or problem seminar,source limitations relative to the question
47,10,2,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l11,Performance task planning,avoiding overreliance on any one source
48,10,3,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l12,Performance task build,"expertise, interest, and warranted credibility"
49,10,4,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l13,Skill consolidation,reasoning in seminal and specialized texts
50,10,5,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l14,Transfer challenge,whether a structure makes points clear and convincing
51,11,1,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l15,Assessment preparation,"stance, premises, and links among ideas"
52,11,2,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l16,Unit assessment,source limitations relative to the question
53,11,3,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l17,Targeted correction,avoiding overreliance on any one source
54,11,4,3,"Evaluating Evidence, Method, and Credibility",ma-g12-english-language-arts-u03-l18,"Publication, presentation, or reflection","expertise, interest, and warranted credibility"
55,11,5,4,Disciplinary Writing and the Style Manual,ma-g12-english-language-arts-u04-l01,Launch and diagnostic,organizing so each element builds a unified whole
56,12,1,4,Disciplinary Writing and the Style Manual,ma-g12-english-language-arts-u04-l02,Concept model A,conventions of the discipline being written in
57,12,2,4,Disciplinary Writing and the Style Manual,ma-g12-english-language-arts-u04-l03,Guided practice A,"hyphenation, mechanics, and correct spelling"
58,12,3,4,Disciplinary Writing and the Style Manual,ma-g12-english-language-arts-u04-l04,Independent application A,resolving complex or contested usage
59,12,4,4,Disciplinary Writing and the Style Manual,ma-g12-english-language-arts-u04-l05,Concept model B,varying syntax for effect with cited guidance
60,12,5,4,Disciplinary Writing and the Style Manual,ma-g12-english-language-arts-u04-l06,Guided practice B,"metaphor, simile, and analogy to manage complexity"
61,13,1,4,Disciplinary Writing and the Style Manual,ma-g12-english-language-arts-u04-l07,Investigation or close reading,organizing so each element builds a unified whole
