course_day,week,day_of_week,unit_number,unit_title,day_in_unit,phase,lesson_id
1,1,Monday,1,Geometric Foundations and Constructions,1,Launch and diagnostic,ma-g10-mathematics-u01-l01
2,1,Tuesday,1,Geometric Foundations and Constructions,2,Concept model A,ma-g10-mathematics-u01-l02
3,1,Wednesday,1,Geometric Foundations and Constructions,3,Guided practice A,ma-g10-mathematics-u01-l03
4,1,Thursday,1,Geometric Foundations and Constructions,4,Independent application A,ma-g10-mathematics-u01-l04
5,1,Friday,1,Geometric Foundations and Constructions,5,Concept model B,ma-g10-mathematics-u01-l05
6,2,Monday,1,Geometric Foundations and Constructions,6,Guided practice B,ma-g10-mathematics-u01-l06
7,2,Tuesday,1,Geometric Foundations and Constructions,7,Investigation or close reading,ma-g10-mathematics-u01-l07
8,2,Wednesday,1,Geometric Foundations and Constructions,8,Reteach and varied practice,ma-g10-mathematics-u01-l08
9,2,Thursday,1,Geometric Foundations and Constructions,9,Concept model C,ma-g10-mathematics-u01-l09
10,2,Friday,1,Geometric Foundations and Constructions,10,Discussion or problem seminar,ma-g10-mathematics-u01-l10
11,3,Monday,1,Geometric Foundations and Constructions,11,Performance task planning,ma-g10-mathematics-u01-l11
12,3,Tuesday,1,Geometric Foundations and Constructions,12,Performance task build,ma-g10-mathematics-u01-l12
13,3,Wednesday,1,Geometric Foundations and Constructions,13,Skill consolidation,ma-g10-mathematics-u01-l13
14,3,Thursday,1,Geometric Foundations and Constructions,14,Transfer challenge,ma-g10-mathematics-u01-l14
15,3,Friday,1,Geometric Foundations and Constructions,15,Assessment preparation,ma-g10-mathematics-u01-l15
16,4,Monday,1,Geometric Foundations and Constructions,16,Unit assessment,ma-g10-mathematics-u01-l16
17,4,Tuesday,1,Geometric Foundations and Constructions,17,Targeted correction,ma-g10-mathematics-u01-l17
18,4,Wednesday,1,Geometric Foundations and Constructions,18,"Publication, presentation, or reflection",ma-g10-mathematics-u01-l18
19,4,Thursday,2,Rigid Motions and Transformations,1,Launch and diagnostic,ma-g10-mathematics-u02-l01
20,4,Friday,2,Rigid Motions and Transformations,2,Concept model A,ma-g10-mathematics-u02-l02
21,5,Monday,2,Rigid Motions and Transformations,3,Guided practice A,ma-g10-mathematics-u02-l03
22,5,Tuesday,2,Rigid Motions and Transformations,4,Independent application A,ma-g10-mathematics-u02-l04
23,5,Wednesday,2,Rigid Motions and Transformations,5,Concept model B,ma-g10-mathematics-u02-l05
24,5,Thursday,2,Rigid Motions and Transformations,6,Guided practice B,ma-g10-mathematics-u02-l06
25,5,Friday,2,Rigid Motions and Transformations,7,Investigation or close reading,ma-g10-mathematics-u02-l07
26,6,Monday,2,Rigid Motions and Transformations,8,Reteach and varied practice,ma-g10-mathematics-u02-l08
27,6,Tuesday,2,Rigid Motions and Transformations,9,Concept model C,ma-g10-mathematics-u02-l09
28,6,Wednesday,2,Rigid Motions and Transformations,10,Discussion or problem seminar,ma-g10-mathematics-u02-l10
29,6,Thursday,2,Rigid Motions and Transformations,11,Performance task planning,ma-g10-mathematics-u02-l11
30,6,Friday,2,Rigid Motions and Transformations,12,Performance task build,ma-g10-mathematics-u02-l12
31,7,Monday,2,Rigid Motions and Transformations,13,Skill consolidation,ma-g10-mathematics-u02-l13
32,7,Tuesday,2,Rigid Motions and Transformations,14,Transfer challenge,ma-g10-mathematics-u02-l14
33,7,Wednesday,2,Rigid Motions and Transformations,15,Assessment preparation,ma-g10-mathematics-u02-l15
34,7,Thursday,2,Rigid Motions and Transformations,16,Unit assessment,ma-g10-mathematics-u02-l16
35,7,Friday,2,Rigid Motions and Transformations,17,Targeted correction,ma-g10-mathematics-u02-l17
36,8,Monday,2,Rigid Motions and Transformations,18,"Publication, presentation, or reflection",ma-g10-mathematics-u02-l18
37,8,Tuesday,3,Congruence and Triangle Criteria,1,Launch and diagnostic,ma-g10-mathematics-u03-l01
38,8,Wednesday,3,Congruence and Triangle Criteria,2,Concept model A,ma-g10-mathematics-u03-l02
39,8,Thursday,3,Congruence and Triangle Criteria,3,Guided practice A,ma-g10-mathematics-u03-l03
40,8,Friday,3,Congruence and Triangle Criteria,4,Independent application A,ma-g10-mathematics-u03-l04
41,9,Monday,3,Congruence and Triangle Criteria,5,Concept model B,ma-g10-mathematics-u03-l05
42,9,Tuesday,3,Congruence and Triangle Criteria,6,Guided practice B,ma-g10-mathematics-u03-l06
43,9,Wednesday,3,Congruence and Triangle Criteria,7,Investigation or close reading,ma-g10-mathematics-u03-l07
44,9,Thursday,3,Congruence and Triangle Criteria,8,Reteach and varied practice,ma-g10-mathematics-u03-l08
45,9,Friday,3,Congruence and Triangle Criteria,9,Concept model C,ma-g10-mathematics-u03-l09
46,10,Monday,3,Congruence and Triangle Criteria,10,Discussion or problem seminar,ma-g10-mathematics-u03-l10
47,10,Tuesday,3,Congruence and Triangle Criteria,11,Performance task planning,ma-g10-mathematics-u03-l11
48,10,Wednesday,3,Congruence and Triangle Criteria,12,Performance task build,ma-g10-mathematics-u03-l12
49,10,Thursday,3,Congruence and Triangle Criteria,13,Skill consolidation,ma-g10-mathematics-u03-l13
50,10,Friday,3,Congruence and Triangle Criteria,14,Transfer challenge,ma-g10-mathematics-u03-l14
51,11,Monday,3,Congruence and Triangle Criteria,15,Assessment preparation,ma-g10-mathematics-u03-l15
52,11,Tuesday,3,Congruence and Triangle Criteria,16,Unit assessment,ma-g10-mathematics-u03-l16
53,11,Wednesday,3,Congruence and Triangle Criteria,17,Targeted correction,ma-g10-mathematics-u03-l17
54,11,Thursday,3,Congruence and Triangle Criteria,18,"Publication, presentation, or reflection",ma-g10-mathematics-u03-l18
55,11,Friday,4,Proving Geometric Theorems,1,Launch and diagnostic,ma-g10-mathematics-u04-l01
56,12,Monday,4,Proving Geometric Theorems,2,Concept model A,ma-g10-mathematics-u04-l02
57,12,Tuesday,4,Proving Geometric Theorems,3,Guided practice A,ma-g10-mathematics-u04-l03
58,12,Wednesday,4,Proving Geometric Theorems,4,Independent application A,ma-g10-mathematics-u04-l04
59,12,Thursday,4,Proving Geometric Theorems,5,Concept model B,ma-g10-mathematics-u04-l05
60,12,Friday,4,Proving Geometric Theorems,6,Guided practice B,ma-g10-mathematics-u04-l06
61,13,Monday,4,Proving Geometric Theorems,7,Investigation or close reading,ma-g10-mathematics-u04-l07
62,13,Tuesday,4,Proving Geometric Theorems,8,Reteach and varied practice,ma-g10-mathematics-u04-l08
63,13,Wednesday,4,Proving Geometric Theorems,9,Concept model C,ma-g10-mathematics-u04-l09
64,13,Thursday,4,Proving Geometric Theorems,10,Discussion or problem seminar,ma-g10-mathematics-u04-l10
65,13,Friday,4,Proving Geometric Theorems,11,Performance task planning,ma-g10-mathematics-u04-l11
66,14,Monday,4,Proving Geometric Theorems,12,Performance task build,ma-g10-mathematics-u04-l12
67,14,Tuesday,4,Proving Geometric Theorems,13,Skill consolidation,ma-g10-mathematics-u04-l13
68,14,Wednesday,4,Proving Geometric Theorems,14,Transfer challenge,ma-g10-mathematics-u04-l14
69,14,Thursday,4,Proving Geometric Theorems,15,Assessment preparation,ma-g10-mathematics-u04-l15
70,14,Friday,4,Proving Geometric Theorems,16,Unit assessment,ma-g10-mathematics-u04-l16
71,15,Monday,4,Proving Geometric Theorems,17,Targeted correction,ma-g10-mathematics-u04-l17
72,15,Tuesday,4,Proving Geometric Theorems,18,"Publication, presentation, or reflection",ma-g10-mathematics-u04-l18
73,15,Wednesday,5,Dilations and Similarity,1,Launch and diagnostic,ma-g10-mathematics-u05-l01
74,15,Thursday,5,Dilations and Similarity,2,Concept model A,ma-g10-mathematics-u05-l02
75,15,Friday,5,Dilations and Similarity,3,Guided practice A,ma-g10-mathematics-u05-l03
76,16,Monday,5,Dilations and Similarity,4,Independent application A,ma-g10-mathematics-u05-l04
77,16,Tuesday,5,Dilations and Similarity,5,Concept model B,ma-g10-mathematics-u05-l05
78,16,Wednesday,5,Dilations and Similarity,6,Guided practice B,ma-g10-mathematics-u05-l06
79,16,Thursday,5,Dilations and Similarity,7,Investigation or close reading,ma-g10-mathematics-u05-l07
80,16,Friday,5,Dilations and Similarity,8,Reteach and varied practice,ma-g10-mathematics-u05-l08
81,17,Monday,5,Dilations and Similarity,9,Concept model C,ma-g10-mathematics-u05-l09
82,17,Tuesday,5,Dilations and Similarity,10,Discussion or problem seminar,ma-g10-mathematics-u05-l10
83,17,Wednesday,5,Dilations and Similarity,11,Performance task planning,ma-g10-mathematics-u05-l11
84,17,Thursday,5,Dilations and Similarity,12,Performance task build,ma-g10-mathematics-u05-l12
85,17,Friday,5,Dilations and Similarity,13,Skill consolidation,ma-g10-mathematics-u05-l13
86,18,Monday,5,Dilations and Similarity,14,Transfer challenge,ma-g10-mathematics-u05-l14
87,18,Tuesday,5,Dilations and Similarity,15,Assessment preparation,ma-g10-mathematics-u05-l15
88,18,Wednesday,5,Dilations and Similarity,16,Unit assessment,ma-g10-mathematics-u05-l16
89,18,Thursday,5,Dilations and Similarity,17,Targeted correction,ma-g10-mathematics-u05-l17
90,18,Friday,5,Dilations and Similarity,18,"Publication, presentation, or reflection",ma-g10-mathematics-u05-l18
91,19,Monday,6,Similarity Proofs and Applications,1,Launch and diagnostic,ma-g10-mathematics-u06-l01
92,19,Tuesday,6,Similarity Proofs and Applications,2,Concept model A,ma-g10-mathematics-u06-l02
93,19,Wednesday,6,Similarity Proofs and Applications,3,Guided practice A,ma-g10-mathematics-u06-l03
94,19,Thursday,6,Similarity Proofs and Applications,4,Independent application A,ma-g10-mathematics-u06-l04
95,19,Friday,6,Similarity Proofs and Applications,5,Concept model B,ma-g10-mathematics-u06-l05
96,20,Monday,6,Similarity Proofs and Applications,6,Guided practice B,ma-g10-mathematics-u06-l06
97,20,Tuesday,6,Similarity Proofs and Applications,7,Investigation or close reading,ma-g10-mathematics-u06-l07
98,20,Wednesday,6,Similarity Proofs and Applications,8,Reteach and varied practice,ma-g10-mathematics-u06-l08
99,20,Thursday,6,Similarity Proofs and Applications,9,Concept model C,ma-g10-mathematics-u06-l09
100,20,Friday,6,Similarity Proofs and Applications,10,Discussion or problem seminar,ma-g10-mathematics-u06-l10
101,21,Monday,6,Similarity Proofs and Applications,11,Performance task planning,ma-g10-mathematics-u06-l11
102,21,Tuesday,6,Similarity Proofs and Applications,12,Performance task build,ma-g10-mathematics-u06-l12
103,21,Wednesday,6,Similarity Proofs and Applications,13,Skill consolidation,ma-g10-mathematics-u06-l13
104,21,Thursday,6,Similarity Proofs and Applications,14,Transfer challenge,ma-g10-mathematics-u06-l14
105,21,Friday,6,Similarity Proofs and Applications,15,Assessment preparation,ma-g10-mathematics-u06-l15
106,22,Monday,6,Similarity Proofs and Applications,16,Unit assessment,ma-g10-mathematics-u06-l16
107,22,Tuesday,6,Similarity Proofs and Applications,17,Targeted correction,ma-g10-mathematics-u06-l17
108,22,Wednesday,6,Similarity Proofs and Applications,18,"Publication, presentation, or reflection",ma-g10-mathematics-u06-l18
109,22,Thursday,7,Right Triangle Trigonometry,1,Launch and diagnostic,ma-g10-mathematics-u07-l01
110,22,Friday,7,Right Triangle Trigonometry,2,Concept model A,ma-g10-mathematics-u07-l02
111,23,Monday,7,Right Triangle Trigonometry,3,Guided practice A,ma-g10-mathematics-u07-l03
112,23,Tuesday,7,Right Triangle Trigonometry,4,Independent application A,ma-g10-mathematics-u07-l04
113,23,Wednesday,7,Right Triangle Trigonometry,5,Concept model B,ma-g10-mathematics-u07-l05
114,23,Thursday,7,Right Triangle Trigonometry,6,Guided practice B,ma-g10-mathematics-u07-l06
115,23,Friday,7,Right Triangle Trigonometry,7,Investigation or close reading,ma-g10-mathematics-u07-l07
116,24,Monday,7,Right Triangle Trigonometry,8,Reteach and varied practice,ma-g10-mathematics-u07-l08
117,24,Tuesday,7,Right Triangle Trigonometry,9,Concept model C,ma-g10-mathematics-u07-l09
118,24,Wednesday,7,Right Triangle Trigonometry,10,Discussion or problem seminar,ma-g10-mathematics-u07-l10
119,24,Thursday,7,Right Triangle Trigonometry,11,Performance task planning,ma-g10-mathematics-u07-l11
120,24,Friday,7,Right Triangle Trigonometry,12,Performance task build,ma-g10-mathematics-u07-l12
121,25,Monday,7,Right Triangle Trigonometry,13,Skill consolidation,ma-g10-mathematics-u07-l13
122,25,Tuesday,7,Right Triangle Trigonometry,14,Transfer challenge,ma-g10-mathematics-u07-l14
123,25,Wednesday,7,Right Triangle Trigonometry,15,Assessment preparation,ma-g10-mathematics-u07-l15
124,25,Thursday,7,Right Triangle Trigonometry,16,Unit assessment,ma-g10-mathematics-u07-l16
125,25,Friday,7,Right Triangle Trigonometry,17,Targeted correction,ma-g10-mathematics-u07-l17
126,26,Monday,7,Right Triangle Trigonometry,18,"Publication, presentation, or reflection",ma-g10-mathematics-u07-l18
127,26,Tuesday,8,Circles,1,Launch and diagnostic,ma-g10-mathematics-u08-l01
128,26,Wednesday,8,Circles,2,Concept model A,ma-g10-mathematics-u08-l02
129,26,Thursday,8,Circles,3,Guided practice A,ma-g10-mathematics-u08-l03
130,26,Friday,8,Circles,4,Independent application A,ma-g10-mathematics-u08-l04
131,27,Monday,8,Circles,5,Concept model B,ma-g10-mathematics-u08-l05
132,27,Tuesday,8,Circles,6,Guided practice B,ma-g10-mathematics-u08-l06
133,27,Wednesday,8,Circles,7,Investigation or close reading,ma-g10-mathematics-u08-l07
134,27,Thursday,8,Circles,8,Reteach and varied practice,ma-g10-mathematics-u08-l08
135,27,Friday,8,Circles,9,Concept model C,ma-g10-mathematics-u08-l09
136,28,Monday,8,Circles,10,Discussion or problem seminar,ma-g10-mathematics-u08-l10
137,28,Tuesday,8,Circles,11,Performance task planning,ma-g10-mathematics-u08-l11
138,28,Wednesday,8,Circles,12,Performance task build,ma-g10-mathematics-u08-l12
139,28,Thursday,8,Circles,13,Skill consolidation,ma-g10-mathematics-u08-l13
140,28,Friday,8,Circles,14,Transfer challenge,ma-g10-mathematics-u08-l14
