course_day,course_id,lesson_id
1,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l01
2,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l02
3,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l03
4,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l04
5,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l05
6,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l06
7,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l07
8,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l08
9,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l09
10,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l10
11,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l11
12,ma-g9-arts-and-music,ma-g9-arts-and-music-u01-l12
13,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l01
14,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l02
15,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l03
16,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l04
17,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l05
18,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l06
19,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l07
20,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l08
21,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l09
22,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l10
23,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l11
24,ma-g9-arts-and-music,ma-g9-arts-and-music-u02-l12
25,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l01
26,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l02
27,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l03
28,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l04
29,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l05
30,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l06
31,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l07
32,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l08
33,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l09
34,ma-g9-arts-and-music,ma-g9-arts-and-music-u03-l10
