course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus,requires_guardian_signoff
1,1,1,1,The Adult-Life Operating System,ma-g12-ready-for-life-u01-l01,Launch and planning,"records, documents, and where they live",no
2,2,1,1,The Adult-Life Operating System,ma-g12-ready-for-life-u01-l02,Skill model,"renewals, expiries, and advance reminders",no
3,3,1,1,The Adult-Life Operating System,ma-g12-ready-for-life-u01-l03,Guided practice,recurring obligations across a year,no
4,4,1,1,The Adult-Life Operating System,ma-g12-ready-for-life-u01-l04,Supervised application,secure storage of sensitive documents,yes
5,5,1,1,The Adult-Life Operating System,ma-g12-ready-for-life-u01-l05,Independent application,a weekly and monthly review routine,no
6,6,1,1,The Adult-Life Operating System,ma-g12-ready-for-life-u01-l06,Unit performance task,what to do when something lapses,yes
7,7,1,2,Independent Living Simulation,ma-g12-ready-for-life-u02-l01,Launch and planning,operating a household across a full month,no
8,8,1,2,Independent Living Simulation,ma-g12-ready-for-life-u02-l02,Skill model,meal and supply planning at scale,no
9,9,1,2,Independent Living Simulation,ma-g12-ready-for-life-u02-l03,Guided practice,home upkeep and knowing when to call a professional,no
10,10,1,2,Independent Living Simulation,ma-g12-ready-for-life-u02-l04,Supervised application,transport and logistics over time,yes
11,11,1,2,Independent Living Simulation,ma-g12-ready-for-life-u02-l05,Independent application,handling a disruption mid-month,no
12,12,1,2,Independent Living Simulation,ma-g12-ready-for-life-u02-l06,Unit performance task,reviewing the month honestly,yes
13,13,1,3,Workplace Entry and Professional Systems,ma-g12-ready-for-life-u03-l01,Launch and planning,accepting an offer and simulated onboarding,no
14,14,1,3,Workplace Entry and Professional Systems,ma-g12-ready-for-life-u03-l02,Skill model,unwritten workplace expectations,no
15,15,1,3,Workplace Entry and Professional Systems,ma-g12-ready-for-life-u03-l03,Guided practice,asking for help early and well,no
16,16,1,3,Workplace Entry and Professional Systems,ma-g12-ready-for-life-u03-l04,Supervised application,handling conflict or a mistake professionally,yes
17,17,1,3,Workplace Entry and Professional Systems,ma-g12-ready-for-life-u03-l05,Independent application,understanding a pay statement and schedule,no
18,18,1,3,Workplace Entry and Professional Systems,ma-g12-ready-for-life-u03-l06,Unit performance task,knowing where workplace rights information lives,yes
19,19,1,4,Civic and Legal Adulthood,ma-g12-ready-for-life-u04-l01,Launch and planning,identification and official records,no
20,20,1,4,Civic and Legal Adulthood,ma-g12-ready-for-life-u04-l02,Skill model,voter registration and participation,no
21,21,1,4,Civic and Legal Adulthood,ma-g12-ready-for-life-u04-l03,Guided practice,responsibilities that begin at majority,no
22,22,1,4,Civic and Legal Adulthood,ma-g12-ready-for-life-u04-l04,Supervised application,reading an official notice and responding,yes
23,23,1,4,Civic and Legal Adulthood,ma-g12-ready-for-life-u04-l05,Independent application,finding qualified help rather than guessing,no
24,24,1,4,Civic and Legal Adulthood,ma-g12-ready-for-life-u04-l06,Unit performance task,verifying every rule against a current local source,yes
25,25,1,5,Support Networks and Contingency Planning,ma-g12-ready-for-life-u05-l01,Launch and planning,mapping a support network by role,no
26,26,1,5,Support Networks and Contingency Planning,ma-g12-ready-for-life-u05-l02,Skill model,asking for help before a crisis,no
27,27,1,5,Support Networks and Contingency Planning,ma-g12-ready-for-life-u05-l03,Guided practice,thresholds: when to escalate,no
28,28,1,5,Support Networks and Contingency Planning,ma-g12-ready-for-life-u05-l04,Supervised application,emergency and urgent-help procedures,yes
29,29,1,5,Support Networks and Contingency Planning,ma-g12-ready-for-life-u05-l05,Independent application,building a contingency for the main plan,no
30,30,1,5,Support Networks and Contingency Planning,ma-g12-ready-for-life-u05-l06,Unit performance task,keeping the plan current and private,yes
31,31,1,6,Transition-to-Adulthood Capstone,ma-g12-ready-for-life-u06-l01,Launch and planning,assembling four years of evidence into one portfolio,no
32,32,1,6,Transition-to-Adulthood Capstone,ma-g12-ready-for-life-u06-l02,Skill model,"stating the plan, the timeline, and the first three steps",no
33,33,1,6,Transition-to-Adulthood Capstone,ma-g12-ready-for-life-u06-l03,Guided practice,naming remaining support needs without shame,no
34,34,1,6,Transition-to-Adulthood Capstone,ma-g12-ready-for-life-u06-l04,Supervised application,contingencies for the parts most likely to fail,yes
35,35,1,6,Transition-to-Adulthood Capstone,ma-g12-ready-for-life-u06-l05,Independent application,guardian review and attestation of real-world evidence,no
36,36,1,6,Transition-to-Adulthood Capstone,ma-g12-ready-for-life-u06-l06,Unit performance task,presenting the portfolio and answering challenge,yes
