course_day,week,day_of_week,unit_number,unit_title,day_in_unit,phase,lesson_id
1,1,Monday,1,"Polynomial Arithmetic, Identities, and Zeros",1,Launch and diagnostic,ma-g11-mathematics-u01-l01
2,1,Tuesday,1,"Polynomial Arithmetic, Identities, and Zeros",2,Concept model A,ma-g11-mathematics-u01-l02
3,1,Wednesday,1,"Polynomial Arithmetic, Identities, and Zeros",3,Guided practice A,ma-g11-mathematics-u01-l03
4,1,Thursday,1,"Polynomial Arithmetic, Identities, and Zeros",4,Independent application A,ma-g11-mathematics-u01-l04
5,1,Friday,1,"Polynomial Arithmetic, Identities, and Zeros",5,Concept model B,ma-g11-mathematics-u01-l05
6,2,Monday,1,"Polynomial Arithmetic, Identities, and Zeros",6,Guided practice B,ma-g11-mathematics-u01-l06
7,2,Tuesday,1,"Polynomial Arithmetic, Identities, and Zeros",7,Investigation or close reading,ma-g11-mathematics-u01-l07
8,2,Wednesday,1,"Polynomial Arithmetic, Identities, and Zeros",8,Reteach and varied practice,ma-g11-mathematics-u01-l08
9,2,Thursday,1,"Polynomial Arithmetic, Identities, and Zeros",9,Concept model C,ma-g11-mathematics-u01-l09
10,2,Friday,1,"Polynomial Arithmetic, Identities, and Zeros",10,Discussion or problem seminar,ma-g11-mathematics-u01-l10
11,3,Monday,1,"Polynomial Arithmetic, Identities, and Zeros",11,Performance task planning,ma-g11-mathematics-u01-l11
12,3,Tuesday,1,"Polynomial Arithmetic, Identities, and Zeros",12,Performance task build,ma-g11-mathematics-u01-l12
13,3,Wednesday,1,"Polynomial Arithmetic, Identities, and Zeros",13,Skill consolidation,ma-g11-mathematics-u01-l13
14,3,Thursday,1,"Polynomial Arithmetic, Identities, and Zeros",14,Transfer challenge,ma-g11-mathematics-u01-l14
15,3,Friday,1,"Polynomial Arithmetic, Identities, and Zeros",15,Assessment preparation,ma-g11-mathematics-u01-l15
16,4,Monday,1,"Polynomial Arithmetic, Identities, and Zeros",16,Unit assessment,ma-g11-mathematics-u01-l16
17,4,Tuesday,1,"Polynomial Arithmetic, Identities, and Zeros",17,Targeted correction,ma-g11-mathematics-u01-l17
18,4,Wednesday,1,"Polynomial Arithmetic, Identities, and Zeros",18,"Publication, presentation, or reflection",ma-g11-mathematics-u01-l18
