course_day,lesson_id,package,answer_key,status,origin
1,ma-g12-mathematics-u01-l01,active/packages/grade-12/ma-g12-mathematics-u01-l01.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l01.key.json,ACTIVE,math-production-materials
2,ma-g12-mathematics-u01-l02,active/packages/grade-12/ma-g12-mathematics-u01-l02.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l02.key.json,ACTIVE,math-production-materials
3,ma-g12-mathematics-u01-l03,active/packages/grade-12/ma-g12-mathematics-u01-l03.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l03.key.json,ACTIVE,math-production-materials
4,ma-g12-mathematics-u01-l04,active/packages/grade-12/ma-g12-mathematics-u01-l04.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l04.key.json,ACTIVE,math-production-materials
5,ma-g12-mathematics-u01-l05,active/packages/grade-12/ma-g12-mathematics-u01-l05.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l05.key.json,ACTIVE,math-production-materials
6,ma-g12-mathematics-u01-l06,active/packages/grade-12/ma-g12-mathematics-u01-l06.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l06.key.json,ACTIVE,math-production-materials
7,ma-g12-mathematics-u01-l07,active/packages/grade-12/ma-g12-mathematics-u01-l07.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l07.key.json,ACTIVE,math-production-materials
8,ma-g12-mathematics-u01-l08,active/packages/grade-12/ma-g12-mathematics-u01-l08.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l08.key.json,ACTIVE,math-production-materials
9,ma-g12-mathematics-u01-l09,active/packages/grade-12/ma-g12-mathematics-u01-l09.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l09.key.json,ACTIVE,math-production-materials
10,ma-g12-mathematics-u01-l10,active/packages/grade-12/ma-g12-mathematics-u01-l10.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l10.key.json,ACTIVE,math-production-materials
11,ma-g12-mathematics-u01-l11,active/packages/grade-12/ma-g12-mathematics-u01-l11.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l11.key.json,ACTIVE,math-production-materials
12,ma-g12-mathematics-u01-l12,active/packages/grade-12/ma-g12-mathematics-u01-l12.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l12.key.json,ACTIVE,math-production-materials
13,ma-g12-mathematics-u01-l13,active/packages/grade-12/ma-g12-mathematics-u01-l13.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l13.key.json,ACTIVE,math-production-materials
14,ma-g12-mathematics-u01-l14,active/packages/grade-12/ma-g12-mathematics-u01-l14.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l14.key.json,ACTIVE,math-production-materials
15,ma-g12-mathematics-u01-l15,active/packages/grade-12/ma-g12-mathematics-u01-l15.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l15.key.json,ACTIVE,math-production-materials
16,ma-g12-mathematics-u01-l16,active/packages/grade-12/ma-g12-mathematics-u01-l16.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l16.key.json,ACTIVE,math-production-materials
17,ma-g12-mathematics-u01-l17,active/packages/grade-12/ma-g12-mathematics-u01-l17.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l17.key.json,ACTIVE,math-production-materials
18,ma-g12-mathematics-u01-l18,active/packages/grade-12/ma-g12-mathematics-u01-l18.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u01-l18.key.json,ACTIVE,math-production-materials
19,ma-g12-mathematics-u02-l01,active/packages/grade-12/ma-g12-mathematics-u02-l01.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l01.key.json,ACTIVE,math-production-materials
20,ma-g12-mathematics-u02-l02,active/packages/grade-12/ma-g12-mathematics-u02-l02.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l02.key.json,ACTIVE,math-production-materials
21,ma-g12-mathematics-u02-l03,active/packages/grade-12/ma-g12-mathematics-u02-l03.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l03.key.json,ACTIVE,math-production-materials
22,ma-g12-mathematics-u02-l04,active/packages/grade-12/ma-g12-mathematics-u02-l04.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l04.key.json,ACTIVE,math-production-materials
23,ma-g12-mathematics-u02-l05,active/packages/grade-12/ma-g12-mathematics-u02-l05.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l05.key.json,ACTIVE,math-production-materials
24,ma-g12-mathematics-u02-l06,active/packages/grade-12/ma-g12-mathematics-u02-l06.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l06.key.json,ACTIVE,math-production-materials
25,ma-g12-mathematics-u02-l07,active/packages/grade-12/ma-g12-mathematics-u02-l07.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l07.key.json,ACTIVE,math-production-materials
26,ma-g12-mathematics-u02-l08,active/packages/grade-12/ma-g12-mathematics-u02-l08.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l08.key.json,ACTIVE,math-production-materials
27,ma-g12-mathematics-u02-l09,active/packages/grade-12/ma-g12-mathematics-u02-l09.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l09.key.json,ACTIVE,math-production-materials
28,ma-g12-mathematics-u02-l10,active/packages/grade-12/ma-g12-mathematics-u02-l10.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l10.key.json,ACTIVE,math-production-materials
29,ma-g12-mathematics-u02-l11,active/packages/grade-12/ma-g12-mathematics-u02-l11.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l11.key.json,ACTIVE,math-production-materials
30,ma-g12-mathematics-u02-l12,active/packages/grade-12/ma-g12-mathematics-u02-l12.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l12.key.json,ACTIVE,math-production-materials
31,ma-g12-mathematics-u02-l13,active/packages/grade-12/ma-g12-mathematics-u02-l13.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l13.key.json,ACTIVE,math-production-materials
32,ma-g12-mathematics-u02-l14,active/packages/grade-12/ma-g12-mathematics-u02-l14.package.json,active/answer-keys/grade-12/ma-g12-mathematics-u02-l14.key.json,ACTIVE,math-production-materials
