course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
1,1,1,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l01,Launch and diagnostic,total compensation versus salary
2,1,2,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l02,Concept model A,"health, retirement, and leave benefits valued"
3,2,1,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l03,Concept model B,"pathway cost: certificate, apprenticeship, or degree"
4,2,2,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l04,Guided practice,labour market information and how to read it
5,3,1,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l05,Applied simulation,"non-income factors: schedule, stability, location, fit"
6,3,2,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l06,Comparison and analysis,self-employment and multiple income streams
7,4,1,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l07,Error and misconception analysis,total compensation versus salary
8,4,2,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l08,Transfer to a new case,"health, retirement, and leave benefits valued"
9,5,1,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l09,Synthesis and review,"pathway cost: certificate, apprenticeship, or degree"
10,5,2,1,PF1 — Earning Income: Compensation Packages and Career Pathways,ma-g10-financial-literacy-u01-l10,Unit performance task,labour market information and how to read it
11,6,1,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l01,Launch and diagnostic,reading a contract's cost and obligation terms
12,6,2,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l02,Concept model A,"subscriptions, renewals, and cancellation terms"
13,7,1,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l03,Concept model B,"returns, warranties, and remedies"
14,7,2,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l04,Guided practice,the role of government agencies in consumer protection
15,8,1,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l05,Applied simulation,unit pricing and comparison methods
16,8,2,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l06,Comparison and analysis,documenting and escalating a consumer complaint
17,9,1,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l07,Error and misconception analysis,reading a contract's cost and obligation terms
18,9,2,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l08,Transfer to a new case,"subscriptions, renewals, and cancellation terms"
19,10,1,2,"PF2 — Buying Goods and Services: Contracts, Disclosures, and Consumer Protection",ma-g10-financial-literacy-u02-l09,Synthesis and review,"returns, warranties, and remedies"
