course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus,requires_guardian_signoff
1,1,1,1,Career Exploration and Pathway Mapping,ma-g10-ready-for-life-u01-l01,Launch and planning,"identifying interests, strengths, and constraints",no
2,2,1,1,Career Exploration and Pathway Mapping,ma-g10-ready-for-life-u01-l02,Skill model,what a job actually involves day to day,no
3,3,1,1,Career Exploration and Pathway Mapping,ma-g10-ready-for-life-u01-l03,Guided practice,entry requirements and training pathways,no
4,4,1,1,Career Exploration and Pathway Mapping,ma-g10-ready-for-life-u01-l04,Supervised application,informational conversations with adults,yes
5,5,1,1,Career Exploration and Pathway Mapping,ma-g10-ready-for-life-u01-l05,Independent application,comparing pathways honestly,no
6,6,1,1,Career Exploration and Pathway Mapping,ma-g10-ready-for-life-u01-l06,Unit performance task,recording findings and revisiting them,yes
7,7,1,2,"Job Readiness: Applications, Resumes, and Interviews",ma-g10-ready-for-life-u02-l01,Launch and planning,building a resume from real experience,no
8,8,1,2,"Job Readiness: Applications, Resumes, and Interviews",ma-g10-ready-for-life-u02-l02,Skill model,"writing a short, specific application message",no
9,9,1,2,"Job Readiness: Applications, Resumes, and Interviews",ma-g10-ready-for-life-u02-l03,Guided practice,gathering references appropriately,no
10,10,1,2,"Job Readiness: Applications, Resumes, and Interviews",ma-g10-ready-for-life-u02-l04,Supervised application,practising common interview questions,yes
11,11,1,2,"Job Readiness: Applications, Resumes, and Interviews",ma-g10-ready-for-life-u02-l05,Independent application,interview preparation and follow-up,no
12,12,1,2,"Job Readiness: Applications, Resumes, and Interviews",ma-g10-ready-for-life-u02-l06,Unit performance task,understanding working-age rules locally,yes
13,13,1,3,Professional Communication,ma-g10-ready-for-life-u03-l01,Launch and planning,professional email and message conventions,no
14,14,1,3,Professional Communication,ma-g10-ready-for-life-u03-l02,Skill model,"tone, register, and audience",no
15,15,1,3,Professional Communication,ma-g10-ready-for-life-u03-l03,Guided practice,asking for clarification without hedging,no
16,16,1,3,Professional Communication,ma-g10-ready-for-life-u03-l04,Supervised application,reporting a problem or a mistake early,yes
17,17,1,3,Professional Communication,ma-g10-ready-for-life-u03-l05,Independent application,requesting time off or a schedule change,no
18,18,1,3,Professional Communication,ma-g10-ready-for-life-u03-l06,Unit performance task,receiving and acting on feedback,yes
19,19,1,4,Consumer Tasks and Everyday Agreements,ma-g10-ready-for-life-u04-l01,Launch and planning,reading an everyday agreement before signing,no
20,20,1,4,Consumer Tasks and Everyday Agreements,ma-g10-ready-for-life-u04-l02,Skill model,"what a receipt, warranty, or confirmation is for",no
21,21,1,4,Consumer Tasks and Everyday Agreements,ma-g10-ready-for-life-u04-l03,Guided practice,"returning, cancelling, or disputing something",no
22,22,1,4,Consumer Tasks and Everyday Agreements,ma-g10-ready-for-life-u04-l04,Supervised application,keeping records that make a dispute winnable,yes
23,23,1,4,Consumer Tasks and Everyday Agreements,ma-g10-ready-for-life-u04-l05,Independent application,recognising pressure tactics and scams,no
24,24,1,4,Consumer Tasks and Everyday Agreements,ma-g10-ready-for-life-u04-l06,Unit performance task,where to get help with a consumer problem,yes
25,25,1,5,Civic Participation and Public Systems,ma-g10-ready-for-life-u05-l01,Launch and planning,finding and verifying current local information,no
26,26,1,5,Civic Participation and Public Systems,ma-g10-ready-for-life-u05-l02,Skill model,"libraries, transit, health, and community services",no
27,27,1,5,Civic Participation and Public Systems,ma-g10-ready-for-life-u05-l03,Guided practice,identification and records: what exists and why,no
28,28,1,5,Civic Participation and Public Systems,ma-g10-ready-for-life-u05-l04,Supervised application,voter registration and civic participation in outline,yes
29,29,1,5,Civic Participation and Public Systems,ma-g10-ready-for-life-u05-l05,Independent application,making a request or an enquiry of an office,no
30,30,1,5,Civic Participation and Public Systems,ma-g10-ready-for-life-u05-l06,Unit performance task,verifying rules locally rather than assuming,yes
31,31,1,6,Grade 10 Work-Readiness Capstone,ma-g10-ready-for-life-u06-l01,Launch and planning,integrating readiness evidence into a portfolio,no
32,32,1,6,Grade 10 Work-Readiness Capstone,ma-g10-ready-for-life-u06-l02,Skill model,rehearsing the full application sequence,no
33,33,1,6,Grade 10 Work-Readiness Capstone,ma-g10-ready-for-life-u06-l03,Guided practice,professional communication under time pressure,no
34,34,1,6,Grade 10 Work-Readiness Capstone,ma-g10-ready-for-life-u06-l04,Supervised application,knowing local rules before applying,yes
35,35,1,6,Grade 10 Work-Readiness Capstone,ma-g10-ready-for-life-u06-l05,Independent application,planning realistically around school,no
36,36,1,6,Grade 10 Work-Readiness Capstone,ma-g10-ready-for-life-u06-l06,Unit performance task,presenting readiness and naming remaining gaps,yes
