course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
1,1,1,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l01,Launch and diagnostic,"return on a pathway: cost, time, debt, and earnings"
2,1,2,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l02,Concept model A,opportunity cost of years not earning
3,2,1,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l03,Concept model B,"earnings variation within a field, not just the median"
4,2,2,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l04,Guided practice,stating and testing assumptions in a projection
5,3,1,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l05,Applied simulation,risk of non-completion and how to model it
6,3,2,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l06,Comparison and analysis,"negotiation, advancement, and long-run wage growth"
7,4,1,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l07,Error and misconception analysis,"return on a pathway: cost, time, debt, and earnings"
8,4,2,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l08,Transfer to a new case,opportunity cost of years not earning
9,5,1,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l09,Synthesis and review,"earnings variation within a field, not just the median"
10,5,2,1,"PF1 — Earning Income: Education, Career, and Lifetime Earnings Tradeoffs",ma-g11-financial-literacy-u01-l10,Unit performance task,stating and testing assumptions in a projection
11,6,1,2,PF2 — Buying Goods and Services: Major Purchase Analysis Under Constraint,ma-g11-financial-literacy-u02-l01,Launch and diagnostic,total cost of ownership over a holding period
12,6,2,2,PF2 — Buying Goods and Services: Major Purchase Analysis Under Constraint,ma-g11-financial-literacy-u02-l02,Concept model A,"buy, finance, lease, or delay compared"
