status	path	source_sha256	rejected_zip_entry_sha256	corrected_zip_entry_sha256
MATCH	app/features/external-assignment-capture/ExternalAssignmentCapture.css	893a7071d83e341e615fdbd90a81b6f1fa659b631b24db6b08efac87742e91db	893a7071d83e341e615fdbd90a81b6f1fa659b631b24db6b08efac87742e91db	893a7071d83e341e615fdbd90a81b6f1fa659b631b24db6b08efac87742e91db
MATCH	app/features/external-assignment-capture/ExternalAssignmentCapture.tsx	ac8e5a513155027e3c3ce9bb0dd82f5fd0207aa92bad29aa9ae2826c75ad70c1	ac8e5a513155027e3c3ce9bb0dd82f5fd0207aa92bad29aa9ae2826c75ad70c1	ac8e5a513155027e3c3ce9bb0dd82f5fd0207aa92bad29aa9ae2826c75ad70c1
MATCH	app/features/external-assignment-capture/README.md	b211f6d71f72f6cbfbd695eaeb3504b61f4355ce8b05861a5ebbc4f3746a659c	b211f6d71f72f6cbfbd695eaeb3504b61f4355ce8b05861a5ebbc4f3746a659c	b211f6d71f72f6cbfbd695eaeb3504b61f4355ce8b05861a5ebbc4f3746a659c
MATCH	app/features/external-assignment-capture/demo.html	5bf9e8ae4d5996fd678cb1921f576812b4c4a9bece1f9903f4aa7809a9f7e26e	5bf9e8ae4d5996fd678cb1921f576812b4c4a9bece1f9903f4aa7809a9f7e26e	5bf9e8ae4d5996fd678cb1921f576812b4c4a9bece1f9903f4aa7809a9f7e26e
MATCH	app/features/external-assignment-capture/demo.tsx	0abbc1326936a9963187882385350befbb4e01c179408ca62daf33f86e9b18b2	0abbc1326936a9963187882385350befbb4e01c179408ca62daf33f86e9b18b2	0abbc1326936a9963187882385350befbb4e01c179408ca62daf33f86e9b18b2
MATCH	app/features/external-assignment-capture/fixtures.ts	9b16325829169c77ee07cc68fe8fc1c95e6bb5b24f1dd323b9f5e9edcebee8f8	9b16325829169c77ee07cc68fe8fc1c95e6bb5b24f1dd323b9f5e9edcebee8f8	9b16325829169c77ee07cc68fe8fc1c95e6bb5b24f1dd323b9f5e9edcebee8f8
MATCH	app/features/external-assignment-capture/index.ts	955de8802321aa33dfae550d11831c847f8f2d2d8fdaaa1f6f0a7d00924a7ae4	955de8802321aa33dfae550d11831c847f8f2d2d8fdaaa1f6f0a7d00924a7ae4	955de8802321aa33dfae550d11831c847f8f2d2d8fdaaa1f6f0a7d00924a7ae4
MATCH	app/features/external-assignment-capture/tsconfig.json	1f046880144043be12b377c8b8cf8bf8c537f32dc0b57751a48016ca3f1cf24b	1f046880144043be12b377c8b8cf8bf8c537f32dc0b57751a48016ca3f1cf24b	1f046880144043be12b377c8b8cf8bf8c537f32dc0b57751a48016ca3f1cf24b
MATCH	app/features/external-assignment-capture/types.ts	e91802e778482ef24b990ccac0ad3a0790f51be1d9e44a55975f6939d77e060f	e91802e778482ef24b990ccac0ad3a0790f51be1d9e44a55975f6939d77e060f	e91802e778482ef24b990ccac0ad3a0790f51be1d9e44a55975f6939d77e060f
MATCH	external-learning/capture/OWNERSHIP.md	606ab76f370506ccdcf6d6ad93ae2cf316175c5fcfedf70fcd85f858c430440b	606ab76f370506ccdcf6d6ad93ae2cf316175c5fcfedf70fcd85f858c430440b	606ab76f370506ccdcf6d6ad93ae2cf316175c5fcfedf70fcd85f858c430440b
MATCH	external-learning/capture/README.md	655c1619959ff161ce276af3a903f1197589b3a6c405f6d5b77703ccfefeffa5	655c1619959ff161ce276af3a903f1197589b3a6c405f6d5b77703ccfefeffa5	655c1619959ff161ce276af3a903f1197589b3a6c405f6d5b77703ccfefeffa5
MATCH	external-learning/capture/VALIDATION.md	d33fd2cd07b4dc54a90275d9378f1fd72ac1a6875d1a5f8d5368275ef26ba1ea	d33fd2cd07b4dc54a90275d9378f1fd72ac1a6875d1a5f8d5368275ef26ba1ea	d33fd2cd07b4dc54a90275d9378f1fd72ac1a6875d1a5f8d5368275ef26ba1ea
MATCH	external-learning/capture/adapters.ts	337cd2df687a57cea1fd1ad3e3935e83bd8f3b105c079de8098e93e2aa6ca6e6	337cd2df687a57cea1fd1ad3e3935e83bd8f3b105c079de8098e93e2aa6ca6e6	337cd2df687a57cea1fd1ad3e3935e83bd8f3b105c079de8098e93e2aa6ca6e6
MATCH	external-learning/capture/confirmation.ts	a50ac50a3129c26b8d104c05912dc541ee9f3085630f65a0d6b8cc47bf7b448e	a50ac50a3129c26b8d104c05912dc541ee9f3085630f65a0d6b8cc47bf7b448e	a50ac50a3129c26b8d104c05912dc541ee9f3085630f65a0d6b8cc47bf7b448e
MATCH	external-learning/capture/core-change-requests.md	1a5eb2e49d825d3aaca63e6fd740c3950eab0775821e6e565ffe3b07cc591c15	1a5eb2e49d825d3aaca63e6fd740c3950eab0775821e6e565ffe3b07cc591c15	1a5eb2e49d825d3aaca63e6fd740c3950eab0775821e6e565ffe3b07cc591c15
MATCH	external-learning/capture/docs/integration.md	882d937bb4683e4fa5f9514ed2d73cabe3bc37b7fb1bd61a8633c284d401596d	882d937bb4683e4fa5f9514ed2d73cabe3bc37b7fb1bd61a8633c284d401596d	882d937bb4683e4fa5f9514ed2d73cabe3bc37b7fb1bd61a8633c284d401596d
MATCH	external-learning/capture/docs/privacy-and-data-handling.md	81d3a014dce9611d514db52655200cb053c22726d810254686c052b97838a42f	81d3a014dce9611d514db52655200cb053c22726d810254686c052b97838a42f	81d3a014dce9611d514db52655200cb053c22726d810254686c052b97838a42f
MATCH	external-learning/capture/extraction.ts	e4cf4a7a04f544432271cb22f7376eea48b3b6b1efea1a20b4e9ee0bc56307ed	e4cf4a7a04f544432271cb22f7376eea48b3b6b1efea1a20b4e9ee0bc56307ed	e4cf4a7a04f544432271cb22f7376eea48b3b6b1efea1a20b4e9ee0bc56307ed
MATCH	external-learning/capture/fixtures/index.ts	cffb7cbbd0c3ae8ac98abd66f279eda4a0c29632764eb205c63888404a3d0944	cffb7cbbd0c3ae8ac98abd66f279eda4a0c29632764eb205c63888404a3d0944	cffb7cbbd0c3ae8ac98abd66f279eda4a0c29632764eb205c63888404a3d0944
MATCH	external-learning/capture/identity.ts	c5984e8e230f5debdb1d00ae05fb2fd36fcd81ec802a20e6bc3fbc2e5dc7f59d	c5984e8e230f5debdb1d00ae05fb2fd36fcd81ec802a20e6bc3fbc2e5dc7f59d	c5984e8e230f5debdb1d00ae05fb2fd36fcd81ec802a20e6bc3fbc2e5dc7f59d
MATCH	external-learning/capture/index.ts	ae815fcdba9a2e007593582986b558495e791ff64578b4c82141140a1f82a3cb	ae815fcdba9a2e007593582986b558495e791ff64578b4c82141140a1f82a3cb	ae815fcdba9a2e007593582986b558495e791ff64578b4c82141140a1f82a3cb
MATCH	external-learning/capture/lifecycle.ts	7e1fd22f337db4a6e594290f85a174024e2978fd714efee0b6fbbfc0d72f8eaa	7e1fd22f337db4a6e594290f85a174024e2978fd714efee0b6fbbfc0d72f8eaa	7e1fd22f337db4a6e594290f85a174024e2978fd714efee0b6fbbfc0d72f8eaa
