course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus
1,1,1,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l01,Launch and diagnostic,evaluating and responding to an offer
2,1,2,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l02,Concept model A,simulated onboarding paperwork and elections
3,2,1,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l03,Concept model B,reading and verifying a pay statement
4,2,2,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l04,Guided practice,benefit enrolment decisions and deadlines
5,3,1,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l05,Applied simulation,income changes across a career stage
6,3,2,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l06,Comparison and analysis,documenting employment records
7,4,1,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l07,Error and misconception analysis,evaluating and responding to an offer
8,4,2,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l08,Transfer to a new case,simulated onboarding paperwork and elections
9,5,1,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l09,Synthesis and review,reading and verifying a pay statement
10,5,2,1,"PF1 — Earning Income: Entering the Workforce: Offers, Onboarding, and Pay",ma-g12-financial-literacy-u01-l10,Unit performance task,benefit enrolment decisions and deadlines
11,6,1,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l01,Launch and diagnostic,recurring obligations and renewal management
12,6,2,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l02,Concept model A,a major purchase inside a live plan
13,7,1,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l03,Concept model B,resolving a billing error or dispute
14,7,2,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l04,Guided practice,subscription and service audits
15,8,1,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l05,Applied simulation,consumer rights and where to escalate
16,8,2,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l06,Comparison and analysis,annual spending review and adjustment
17,9,1,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l07,Error and misconception analysis,recurring obligations and renewal management
18,9,2,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l08,Transfer to a new case,a major purchase inside a live plan
19,10,1,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l09,Synthesis and review,resolving a billing error or dispute
20,10,2,2,PF2 — Buying Goods and Services: Running a Household's Spending,ma-g12-financial-literacy-u02-l10,Unit performance task,subscription and service audits
21,11,1,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l01,Launch and diagnostic,operating a budget month over month
22,11,2,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l02,Concept model A,irregular income and cash-flow timing
23,12,1,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l03,Concept model B,emergency fund sizing and use
24,12,2,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l04,Guided practice,paying down debt while saving
25,13,1,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l05,Applied simulation,adjusting after a plan fails a month
26,13,2,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l06,Comparison and analysis,year-end reconciliation and lessons
27,14,1,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l07,Error and misconception analysis,operating a budget month over month
28,14,2,3,PF3 — Budgeting and Saving: Running the Adult Budget,ma-g12-financial-literacy-u03-l08,Transfer to a new case,irregular income and cash-flow timing
